poverty_strata,allocation_residual
Low (bottom 25%),-0.6544045356595986
High (top 25%),-1.1872513093302024
Medium,-0.7905741887189066
High (top 25%),-1.9086367787013878
Medium,-1.4594229533708245
High (top 25%),-1.321596413631996
Medium,-0.30635142664711085
Medium,-0.9453561738885787
Medium,-1.0825041920396807
Medium,-1.3028953454179906
High (top 25%),-0.3582087993656641
Medium,-0.5519731111590283
Medium,-1.3451155293815615
Medium,-1.2057360610578922
Medium,-1.0595011612190204
Medium,-0.7150017213397469
Medium,-0.5878104748373778
Medium,-0.9075711987556846
Medium,-1.2348355335584398
Low (bottom 25%),-0.5687247547293991
Medium,-0.5783908416357608
High (top 25%),-0.8173310680211571
Medium,-1.2406472053278492
High (top 25%),-0.26813140773552113
High (top 25%),1.0662532185545344
Medium,-1.525366521996972
Medium,-1.257028475379177
Medium,-1.2799943014952873
Low (bottom 25%),-0.8250621579051095
Medium,-1.0135681995052586
Medium,-0.7580120005895525
Medium,-0.11080854898839457
Medium,-0.025916051616296877
Medium,-0.8623378989226821
Low (bottom 25%),-0.36090657247136926
Low (bottom 25%),-0.5865067341834117
Low (bottom 25%),-0.5448224951250012
Low (bottom 25%),-0.12056527948667277
High (top 25%),0.6317924333367412
Low (bottom 25%),0.6286530025823145
Low (bottom 25%),0.43575868644510973
Medium,-0.3732668193264707
High (top 25%),0.9325355179203055
Low (bottom 25%),0.0736692786043365
Medium,0.4678385847396615
Medium,0.8633578961768422
Medium,0.18989912589905653
Medium,-0.41075730429022966
Medium,0.38303774529143025
Medium,0.1521363988265466
Medium,-0.09096167771164217
Medium,-0.6763111589614589
Medium,-0.17106687867039927
Medium,-0.32922121898286477
Medium,-0.312155720079017
Low (bottom 25%),0.118455970427907
Medium,-0.06645874588271941
High (top 25%),-0.8156394515942481
Medium,-1.1525641891783087
Low (bottom 25%),0.11286268767437145
Low (bottom 25%),-0.45488052984730964
Medium,-0.3204669979620488
Low (bottom 25%),-0.23925634588940323
Medium,-0.1502599441529279
Low (bottom 25%),0.36033924486170155
Low (bottom 25%),-0.569521710043307
Medium,0.06389009184877703
Medium,-0.33635614446633944
Low (bottom 25%),-1.0004224654648786
Medium,0.07399315386275135
Medium,-0.06953710321905433
Low (bottom 25%),-1.113547137181072
Low (bottom 25%),-0.9019983806533484
Low (bottom 25%),-0.08310660225306984
Medium,0.037384002330031994
Medium,-0.6990083947084886
High (top 25%),-0.558544418432095
Medium,-0.0802129786851149
Low (bottom 25%),0.027689107443626952
Low (bottom 25%),-0.5489384546892206
Medium,-0.29998981979395567
Low (bottom 25%),0.7430087501829543
Medium,0.5884010186166275
Medium,1.0569023106478137
Low (bottom 25%),0.001485431121575851
Low (bottom 25%),-0.9379593323435991
Medium,-0.9306293405086464
Medium,0.31429054782669935
