poverty_strata,allocation_residual
High (top 25%),1.0836385114418274
Medium,-0.21870800266429907
Medium,-0.012437070371412116
Low (bottom 25%),-0.14593628539965867
Low (bottom 25%),-0.0023414649580513675
Medium,0.3188893455733582
Low (bottom 25%),-0.09124463558201874
Medium,-0.13034851208898268
Medium,0.5729612175430248
Medium,0.3114142168656076
High (top 25%),0.3151242477535307
Medium,0.23854998858902637
Medium,0.03612338297941804
High (top 25%),0.27028981717123435
High (top 25%),3.2356853506512433
Medium,-0.1840129482469545
Medium,-0.25975071232605174
Low (bottom 25%),-0.3724999733478645
Low (bottom 25%),-0.28789480049872
Low (bottom 25%),0.48202474032604026
Medium,0.3252942664358321
Medium,0.8916889513458279
Low (bottom 25%),0.411696834648737
Low (bottom 25%),-0.08700038834124242
Medium,0.12699970629868929
Low (bottom 25%),0.4709393719199757
Low (bottom 25%),0.48067202896740097
Low (bottom 25%),0.19899055373748675
Low (bottom 25%),0.9145046594688295
Low (bottom 25%),0.5833022959883823
Medium,0.36937511037810367
Medium,0.5380782484914242
Medium,0.41192729431645386
Medium,0.2795880238745089
Medium,0.2370609203248065
Medium,0.38056779969374704
Low (bottom 25%),-0.12819734987797646
Medium,-0.16987263594996796
Low (bottom 25%),-0.189366572771567
Low (bottom 25%),0.1425297538132079
Medium,0.10759802596692303
Medium,0.5204887396613995
Medium,-0.1588572445663626
Medium,-0.04739085791446262
Medium,-0.05905907345148302
High (top 25%),2.136988740063522
Medium,-0.045365517326559024
Medium,0.07138008487213922
Medium,0.00045178044960197456
Medium,-0.42476169655614743
Low (bottom 25%),-0.37772122117952056
Low (bottom 25%),-0.02818098068022659
Low (bottom 25%),0.30680898794458544
Low (bottom 25%),0.042604236163077396
Low (bottom 25%),0.016557242356686947
Low (bottom 25%),0.2349352149416507
Medium,0.06671649347342738
Low (bottom 25%),0.3099656551602218
Medium,0.08850713522402305
Medium,-0.19855496292969543
Low (bottom 25%),-0.019426668656072055
Medium,-0.47335604398459874
Low (bottom 25%),0.06585608254190742
Medium,0.08431081341251441
Low (bottom 25%),-0.028308318772636173
Low (bottom 25%),0.4499606595021637
Low (bottom 25%),-0.07907867248695069
Low (bottom 25%),-0.3557222423397823
High (top 25%),2.4238744119890816
Low (bottom 25%),-0.4369520400712141
Medium,0.2373601912010389
Low (bottom 25%),0.09671801635043809
Medium,0.11360184244095653
Medium,0.10279442551518057
Medium,0.050469344651075616
Low (bottom 25%),0.01206551461178319
Medium,-0.28442635460323856
Low (bottom 25%),-0.3540076206470366
Medium,-0.2853184566640411
Medium,-0.39852750940930154
Medium,-0.03541295673523977
High (top 25%),-0.09436689330216587
Low (bottom 25%),0.25967794766136465
Medium,-0.01858019950960204
Low (bottom 25%),-0.04231204571562734
Medium,-0.19805367084632244
Medium,0.026209527608334202
High (top 25%),0.12787467107501665
Low (bottom 25%),0.32757596621207064
Medium,0.11075697461243211
Medium,0.08518778456570815
Low (bottom 25%),0.1507884378589944
Medium,0.52657019338546
Medium,0.10941884266374426
Medium,0.16153734988527593
Medium,-0.06990086513242605
High (top 25%),0.5939202243242934
Medium,-0.3774746180585664
Medium,-0.3281034318773145
Low (bottom 25%),-0.10153058077148522
Medium,-0.06297714241462826
Medium,-0.23550498009258486
Medium,-0.12016363611845399
Low (bottom 25%),0.13035407761538606
Medium,-0.11514525474845595
Medium,0.1588459471232247
Medium,-0.06309345282338367
Medium,-0.11057352647926061
Low (bottom 25%),-0.18881008579061875
Medium,-0.07325386880212185
Low (bottom 25%),-0.008009872358034745
Medium,0.28046975941612057
Medium,-0.28668642814172624
Medium,0.042974549288057086
Medium,-0.13258957451440354
High (top 25%),0.009968995384007338
Medium,-0.29019082023905585
High (top 25%),0.05895596570160531
Low (bottom 25%),-0.39704004992522957
High (top 25%),-0.3346163398060247
Low (bottom 25%),-0.1982163197198082
Medium,-0.4436451180558349
Low (bottom 25%),-0.3925827275781589
Low (bottom 25%),-0.2139920807380778
Medium,0.3432207778148679
Medium,-0.43826671831919817
Low (bottom 25%),-0.025192886050296688
High (top 25%),2.501826621868101
Medium,0.10786387315122559
Medium,-0.45568448680582974
High (top 25%),0.21971869782613762
High (top 25%),0.7888554643407253
High (top 25%),0.3209070636893833
High (top 25%),2.594437909568428
High (top 25%),3.3894460117500267
High (top 25%),2.969357982831178
Medium,-0.2031277343562357
Medium,-0.43975441174223523
High (top 25%),3.6911620905685893
Medium,-0.3786242087591702
Medium,0.4261796555857456
Medium,0.30752792073153823
Low (bottom 25%),-0.0018801321839752485
Medium,0.30550911743440495
Low (bottom 25%),-0.446763509463702
Medium,0.10458352970204123
Low (bottom 25%),0.16593968632305905
Medium,0.002686572373632133
Low (bottom 25%),-0.2053491965627556
Medium,0.04402486702225436
Medium,0.509896685840137
Medium,0.95968032821011
High (top 25%),0.49184895168939663
Medium,0.030370196984681262
Low (bottom 25%),-0.3342753029723816
Medium,0.39905317562543424
Medium,-0.45609938531511873
Medium,-0.12801803934469158
Medium,1.5127053302582327
High (top 25%),0.8632311873067969
Medium,-0.7247087075295524
High (top 25%),-0.8223278373113492
High (top 25%),0.9681079914119416
High (top 25%),2.058911191334764
Medium,0.2358207351046724
Medium,0.220346753623341
High (top 25%),1.0401551091780195
Medium,-0.6859614907112277
High (top 25%),1.4525080271707
High (top 25%),0.8833809476696481
High (top 25%),0.8400195092250891
High (top 25%),0.19794878312259553
High (top 25%),-1.1715192830503012
High (top 25%),-0.006049166606686769
High (top 25%),1.1988806747297012
High (top 25%),0.5157565866400716
High (top 25%),-0.6419933220616022
High (top 25%),0.024875509139216483
Low (bottom 25%),-0.015663675819754298
Low (bottom 25%),0.04340787302272584
Medium,-0.18159564724319605
Medium,0.38039875430528647
Medium,0.1658090728688014
Medium,-0.3087573770146981
High (top 25%),3.441923705638889
Medium,0.27587336100685933
Low (bottom 25%),-0.0956467745580613
Low (bottom 25%),-0.33708792287992956
Medium,-0.1617875515767572
Medium,-0.3150479124805606
High (top 25%),-0.4020290947495038
High (top 25%),-0.3105196291002165
Medium,-0.45407035326633854
Medium,-0.007007112128392772
Medium,-0.243205139265869
Medium,0.028076388967333662
Low (bottom 25%),-0.026761029731069714
Medium,0.42392287438410314
Medium,0.2339678670840933
High (top 25%),0.3383222184816036
Low (bottom 25%),-0.7086418879265171
Medium,-0.3967049432686482
Medium,-0.613484293958333
High (top 25%),0.5267545387467998
Low (bottom 25%),-0.4303534483184206
High (top 25%),-0.3928290166487158
Medium,-0.8080989344325014
High (top 25%),1.1722400681465266
Medium,0.7533323855165932
Medium,-0.2146775772151898
Medium,-0.4371667160010186
Medium,0.3046951948368211
Medium,0.5352605724301949
High (top 25%),0.900077957644958
Medium,-0.4526245068468951
Medium,-0.3978583461911077
High (top 25%),3.6935190382626164
High (top 25%),2.78277579740966
Medium,-0.09941020239655869
High (top 25%),-0.4304922568650293
High (top 25%),1.0116014152650181
High (top 25%),2.6044354388268127
Medium,-0.5720212814492517
Medium,-0.8214998833549089
Low (bottom 25%),-0.5984433317413929
High (top 25%),-0.6179925217266147
Medium,-0.42808024807264117
High (top 25%),0.41399746611103694
High (top 25%),-0.18362549301954595
High (top 25%),-0.28253385328255304
High (top 25%),0.7729830721874709
Medium,-0.7779255794482047
High (top 25%),1.986094612795284
High (top 25%),1.7435888344807766
High (top 25%),1.9972224024548342
Low (bottom 25%),-0.5175468514060413
High (top 25%),1.390407060583591
Medium,-0.7239258541763337
High (top 25%),-0.6104370403873149
High (top 25%),3.3564180927130076
