poverty_strata,allocation_residual
Low (bottom 25%),-0.6688406850932945
High (top 25%),-1.1897948541111087
Medium,-0.7811129378306962
High (top 25%),-1.8066631911731392
Medium,-1.2905285070696497
High (top 25%),-1.1005737283937878
Medium,-0.21235331584212694
Medium,-0.842079538731454
Medium,-0.9631628452291616
Medium,-1.1482265936079532
High (top 25%),-0.280749636637209
Medium,-0.48435010793618954
Medium,-1.1839433120334795
Medium,-0.9746415440289851
Medium,-0.8297020489009301
Medium,-0.520325580489474
Medium,-0.295987099803964
Medium,-0.6784849968673555
Medium,-0.9328069520111879
Low (bottom 25%),-0.33684885212051563
Medium,-0.2411880865325962
High (top 25%),-0.6587025930267746
Medium,-1.0261833249560623
High (top 25%),-0.04378536462869522
High (top 25%),0.9725995276725444
Medium,-1.3192279937822722
Medium,-1.029044094615672
Medium,-1.0510807334000267
Low (bottom 25%),-0.5519042057840075
Medium,-0.7821899260942676
Medium,-0.4912525012650963
Medium,0.07582038792732741
Medium,0.08401460134346635
Medium,-0.5381324821829848
Low (bottom 25%),-0.04492234358993251
Medium,-0.3046580229085754
Low (bottom 25%),-0.3583471255767284
Low (bottom 25%),-0.0046931737967315125
High (top 25%),0.6640625638015928
Low (bottom 25%),0.5278438289458965
Low (bottom 25%),0.21167023477958188
Medium,-0.21216828811537
High (top 25%),1.1610820344058237
Low (bottom 25%),0.107124162687128
Medium,0.630723068964798
Medium,1.0048483271816386
Medium,0.4626553103139632
Medium,-0.16350792601907296
Medium,0.4364312773058765
Medium,0.27671473298898236
Medium,-0.21386601744281394
Medium,-0.629427346819768
Medium,0.08610526646061567
Medium,-0.00948702343443846
Medium,-0.1955445161692889
Low (bottom 25%),0.38753829118970873
Medium,0.016247405537998257
High (top 25%),-0.6431932652213629
Medium,-0.9693189015169463
Low (bottom 25%),0.18672583281953453
Low (bottom 25%),-0.11341515156230234
Medium,-0.16974011472850775
Low (bottom 25%),0.050775257938157826
Medium,0.21123966519691717
Low (bottom 25%),0.636614233801824
Low (bottom 25%),-0.18587050867870109
Medium,0.31088103238195786
Medium,-0.18249719325018252
Low (bottom 25%),-0.8279000575761988
Medium,0.2249736278153413
Medium,0.01091776042793731
Low (bottom 25%),-0.8224395617790292
Low (bottom 25%),-0.5944248177197348
Low (bottom 25%),-0.05871557684644914
Medium,0.14506941545927465
Medium,-0.49270665363630417
High (top 25%),-0.34004702054557623
Medium,0.07677148308532639
Low (bottom 25%),0.06882260621157789
Low (bottom 25%),-0.3558799747005025
Medium,-0.20290874353356947
Low (bottom 25%),0.39674764564167014
Medium,0.33778229402211624
Medium,0.8855623368090836
Low (bottom 25%),-0.10568564359927117
Low (bottom 25%),-0.7619319806667039
Medium,-0.7268957485327479
High (top 25%),0.42614789765453187
Medium,0.025075057792839837
Medium,-0.37486783531492585
Low (bottom 25%),-0.19871948093869762
Low (bottom 25%),0.5703385346867867
Low (bottom 25%),0.6821759748164962
Medium,0.7182597892521749
Low (bottom 25%),0.9727179811407899
High (top 25%),0.9239565123213095
Medium,1.5375167486263013
Medium,1.2225855652710274
Low (bottom 25%),1.1856236314325141
Low (bottom 25%),-0.4082012732937825
