poverty_strata,allocation_residual
High (top 25%),-0.6000414086640893
High (top 25%),0.8232618549424876
High (top 25%),-1.3402633009537057
Medium,-0.11933490913313959
High (top 25%),0.11893800098709234
High (top 25%),-0.14662785926823402
High (top 25%),-0.17560574688806754
High (top 25%),2.0107511752856304
Medium,-0.18673962184003381
Medium,-1.0872241262422195
High (top 25%),2.559785987033153
High (top 25%),0.6469830896456699
Medium,-1.050212328969182
Medium,-0.2079326301784631
Medium,-0.3060975785765192
Low (bottom 25%),-0.3355060253220252
High (top 25%),0.9255701008847353
Medium,0.7937970042145166
High (top 25%),0.9997476122147488
High (top 25%),0.5951069043041198
Medium,0.12096252378677684
Low (bottom 25%),0.4530911711528947
Medium,0.4802534681898768
Medium,0.3556187983468605
Medium,1.3294466536173093
Low (bottom 25%),0.7526965393527562
Medium,0.16791352701956813
Low (bottom 25%),0.6355426298728565
Low (bottom 25%),-0.30041531742681865
Low (bottom 25%),-0.21583403984305347
Medium,1.40770770336256
Medium,1.2216619012795091
Medium,-0.048373609938604276
High (top 25%),-0.061454227145171104
Low (bottom 25%),-0.7527656728837034
High (top 25%),-0.7717944496785755
Medium,-1.4325327679831772
Low (bottom 25%),0.3799919816084543
Low (bottom 25%),0.6023406259013574
Medium,0.13131833609156748
Low (bottom 25%),0.5688424717983817
Low (bottom 25%),-0.4552879173388897
Medium,1.7466873041190498
Medium,-1.3468644929826308
Medium,-0.3898186762554418
Medium,-1.234089679526517
Medium,0.7608803813501874
Medium,-1.9710046139489712
Medium,0.7561501088242797
Low (bottom 25%),-0.34364464196354194
Low (bottom 25%),0.26954809731739265
Medium,1.024290332482551
Low (bottom 25%),0.9680905526203433
Medium,4.074455170184784
Medium,2.7869172359269205
Medium,2.0705516026577575
