poverty_strata,allocation_residual
Medium,1.4027307192604408
Low (bottom 25%),-0.2980290153889081
Low (bottom 25%),-0.06930650037672317
Medium,-0.7499684824760057
Low (bottom 25%),0.08549100672913543
High (top 25%),1.1510314822696683
Medium,0.008509899466478541
Low (bottom 25%),0.11180067754808269
Low (bottom 25%),0.26566952605752825
Low (bottom 25%),-0.08898544584965087
Low (bottom 25%),0.00493633023861338
High (top 25%),0.20429628022768603
Medium,0.31127599820136226
Medium,0.4253672116756158
High (top 25%),0.9109050859880666
Medium,1.3117593326913821
Low (bottom 25%),-0.11070641253923764
Medium,0.1683681703514923
Medium,0.0015469803105296646
High (top 25%),5.9179143911112275
Low (bottom 25%),-0.03824718323316346
Low (bottom 25%),0.1099078223530203
Low (bottom 25%),-0.4769984532602775
Low (bottom 25%),-0.46656952578231947
High (top 25%),0.8153382126533507
Low (bottom 25%),-0.0872566880239715
Low (bottom 25%),-0.11950752379862083
Low (bottom 25%),0.12382672302337291
Low (bottom 25%),0.2244626348743391
Low (bottom 25%),0.004824221822265817
Medium,0.39814589041446447
Medium,0.3693897079075964
Low (bottom 25%),-0.5866787139950208
Low (bottom 25%),0.042226575680738926
Low (bottom 25%),0.5087649992252128
Medium,0.8361558205379578
Medium,0.38242223292073624
Medium,2.0085701302293795
High (top 25%),1.5011051411778404
Medium,1.0459362926409121
High (top 25%),-0.020027769055738668
Low (bottom 25%),-0.40797167272762996
Low (bottom 25%),-0.2315348610818267
Medium,0.5058598681474833
Medium,1.2235096509663776
Medium,0.407366723085144
Medium,-0.14260141194205148
Medium,-0.5438433961645666
Low (bottom 25%),-1.0576110132568592
Medium,1.0031346026895243
Medium,0.2609509124474444
Medium,-0.32479536490302574
Medium,0.1348167539926691
High (top 25%),-1.3386427546401232
High (top 25%),-0.4403161909665794
Medium,-1.681456537299806
Medium,-1.6222126650160575
Medium,-1.4416230077847392
High (top 25%),-1.9722551044583134
Medium,-2.1031696997034963
High (top 25%),0.048527870189311983
Medium,-1.0744697753924553
Medium,-0.5593262983917088
Medium,0.47326308412667606
Medium,-1.412226994356888
High (top 25%),-0.060695630251579626
Medium,-0.07248483471069216
Low (bottom 25%),0.30611107216105093
Medium,0.8875545056593993
Medium,0.04512991443711031
High (top 25%),-1.2103758288308353
High (top 25%),-0.5299053040132864
High (top 25%),-0.08981342374791751
High (top 25%),-0.2763664714755019
Medium,-0.34485739910879437
High (top 25%),-0.26846073918216723
Medium,-1.3635128816980833
High (top 25%),-1.7204922570068186
Medium,-2.262261317127067
High (top 25%),-1.1140322857496217
High (top 25%),-1.2935854982374428
Medium,-1.3630533238759681
Medium,-1.6321275717658257
High (top 25%),-0.8294366436988317
Medium,-1.2660425371528055
Medium,-1.4868340775662712
High (top 25%),-0.8354037115719499
Medium,-0.8271176252463068
Medium,-1.1775521071583719
Medium,-2.310283750088253
High (top 25%),-1.2829454886636367
Medium,0.2281602895605185
Medium,-0.6191595686131922
Medium,-1.9466515951953482
Medium,-2.077423768059623
