poverty_strata,allocation_residual
High (top 25%),-1.9063899377282383
Medium,-1.0736716126441417
High (top 25%),-1.416619414323357
Medium,-0.5179816712777774
Medium,-0.9902273590427565
High (top 25%),-1.0627316432604448
Medium,-0.5076627640008595
Medium,-2.31655200992019
Low (bottom 25%),-0.9183136168420706
Medium,-0.4812355700568544
Medium,-0.901181300292365
High (top 25%),-1.3525064017471553
High (top 25%),-1.4262528208101162
Medium,-1.0502383826115727
Medium,-0.8812557989207394
Medium,-0.8235868105508092
Medium,-1.291399575273334
Medium,-1.5624716875077467
High (top 25%),-1.6240237876628418
Medium,-1.119688578144102
Medium,-1.7725593330943046
High (top 25%),-1.3524094098719197
High (top 25%),-2.1491913126152986
Medium,-3.3594715227861895
Medium,-3.1450140098829427
High (top 25%),-2.86407650036246
Medium,-1.607171917647001
High (top 25%),-2.2103714288007876
High (top 25%),-2.062875776155015
Medium,-2.3683472506524486
Medium,-1.669272888659667
Medium,-1.9443447978662436
High (top 25%),-1.5617865753920273
Medium,-0.8384879285366117
Medium,-1.3779732175791215
High (top 25%),-1.2330862468474595
High (top 25%),-0.8538029421121804
Medium,-1.3400398070705228
Medium,-0.393083347207046
Medium,-0.6380887243399426
Low (bottom 25%),-0.4526697011829356
High (top 25%),-2.543891703512966
Medium,-2.260101363584111
High (top 25%),-2.062031442769803
High (top 25%),-2.1352246172891745
Medium,-2.500811941958508
High (top 25%),-0.723008819425336
Medium,-1.512794231346807
High (top 25%),-1.2507706953447748
Medium,-0.5135382079314573
High (top 25%),-1.4696691126524872
Low (bottom 25%),-0.6888530667322776
High (top 25%),-1.5585187721483227
Medium,-1.0646715322892313
High (top 25%),-0.31556890360261797
Medium,-0.6147729907358604
Medium,-2.0695249172029704
Medium,-1.5981234295466678
Medium,-1.2447796466966585
Medium,-1.7293103831570624
High (top 25%),-0.8769225066104409
High (top 25%),-1.1978370050932294
High (top 25%),-1.6904769817758443
Medium,-1.2154214120745748
High (top 25%),-1.1848495523186005
Medium,-1.5128225789995298
Medium,-1.4267515258339856
High (top 25%),-1.5207802939797106
Medium,-1.2882906866779837
High (top 25%),-1.0764728943198278
Medium,-1.2440721952989664
Medium,-1.0322683038813714
Medium,-2.4580086197539224
Medium,-1.4790674962742123
High (top 25%),-2.249808447175939
High (top 25%),-2.098197343286571
Medium,-1.353107571550883
Medium,-1.3596269174850477
Medium,-1.7867569246636672
Medium,-1.3826387713843964
High (top 25%),-1.519978797205999
High (top 25%),-2.1035917801105932
High (top 25%),-2.330413604202756
High (top 25%),-1.753893528418016
Medium,-1.753447762979601
High (top 25%),-1.6657649170197386
High (top 25%),-1.822205611483218
Medium,-1.7252255760369168
Medium,-2.037963843187839
High (top 25%),-2.0370276451152898
High (top 25%),-1.5769828785102737
High (top 25%),-1.7052529362891962
High (top 25%),-1.5055105391990986
High (top 25%),-1.1374090127541874
High (top 25%),-1.274171641099764
High (top 25%),-0.9435427661302367
High (top 25%),-1.2665552661705302
High (top 25%),-0.4023383879752819
High (top 25%),-0.9339879025755427
Low (bottom 25%),-1.0591345484563222
Medium,-0.47949345571651636
Medium,-1.0233511209414894
Medium,-0.95910925066672
Medium,-1.3811631575721224
Medium,-1.2072589669262057
Medium,-0.35886091030372474
Medium,-1.4084773474519154
Medium,-1.5321003903777641
Low (bottom 25%),-1.2713204870008008
High (top 25%),-1.1341361946509203
Medium,-0.9308647158636151
High (top 25%),-0.8583182759459645
Medium,-1.3319508210615378
Medium,-1.7087048241824099
Low (bottom 25%),-1.3615682064274337
Medium,-1.1417861718224958
Medium,-1.4800142953926443
High (top 25%),0.023201082632390856
Low (bottom 25%),-1.3668747761800393
Medium,-0.42722916550825146
High (top 25%),-0.6131255329119797
Medium,-1.6423660867844163
Medium,-2.3826633317677346
High (top 25%),-1.1930540499174982
Medium,-0.9358895126132204
Low (bottom 25%),-0.8207952257549617
Medium,-0.9548324220673998
Medium,-0.4965894986664816
High (top 25%),-1.3060485548369607
Medium,-1.4991400229703133
Medium,-0.9543893958026956
Medium,-0.8841931118384854
High (top 25%),-1.028004084668871
Medium,-0.4603816827487629
Medium,-0.5956448678962079
Medium,-0.8409534428172406
Low (bottom 25%),-0.5275075725038532
Low (bottom 25%),-0.0038463897616517685
Low (bottom 25%),-0.5156963484195803
Low (bottom 25%),-0.5381560715351409
Low (bottom 25%),-0.47273608770502645
Medium,-0.11171750436800902
Low (bottom 25%),-0.0866339901783289
Medium,-0.38739996943944993
High (top 25%),-0.5170839566424944
Medium,-0.5368490353800673
Medium,-1.4353806998952157
Medium,-1.2271798364728024
Low (bottom 25%),-0.9639656543426234
Low (bottom 25%),-0.8232850967494252
Low (bottom 25%),-0.2622496733949166
Low (bottom 25%),-0.9562278515486125
Medium,-0.400941027113822
Medium,-1.021135301171137
Medium,-1.0850597112782294
Medium,-1.348288515761548
Low (bottom 25%),-1.0475371532257187
Medium,-0.311787630809855
Medium,-0.8129835461521011
Low (bottom 25%),-0.8469096606346753
Low (bottom 25%),-0.12807148971334303
Low (bottom 25%),-0.5179762170378732
Low (bottom 25%),-0.3792250196144025
Low (bottom 25%),0.4079117162172039
Low (bottom 25%),-0.4300243244956106
Low (bottom 25%),-0.057213052300644364
Low (bottom 25%),-0.5021361093863376
Medium,-0.20281042908432542
Medium,-0.5185270118938957
Low (bottom 25%),0.15283481063956597
Low (bottom 25%),-0.47514798894107263
Medium,0.04223440507948343
Low (bottom 25%),-0.4814121896663642
Low (bottom 25%),0.47899659573715625
Low (bottom 25%),0.11387813408687028
Low (bottom 25%),-0.22117407986401474
Medium,-1.4726988927999833
Medium,-1.3882413862344118
Medium,1.0044239915261266
Medium,-1.1840165701614418
Medium,-0.9815286455698753
Medium,-1.257226098929512
Medium,-0.3828999313495297
Medium,-0.2117631198105543
Medium,-1.4977430780629133
Medium,-0.9761008791926379
Medium,-1.517841107020778
Low (bottom 25%),-1.0301014045554848
Medium,-1.0020104079125831
Low (bottom 25%),-0.6857794415681213
High (top 25%),-1.1211155524492036
Medium,-1.6245433281173152
Low (bottom 25%),-1.4012883251354882
Medium,-0.02944896861730218
Low (bottom 25%),-0.6518805163240415
High (top 25%),-1.190387204452257
High (top 25%),-0.7658136364168292
High (top 25%),-1.2317639001631326
Medium,-1.2221757865348286
Medium,-1.3640708409695317
High (top 25%),-1.1915684531567057
Medium,-0.5432216197819943
Medium,-1.0347616492297238
Medium,-0.2532029839408194
Medium,-0.7547658489404602
High (top 25%),-1.0157885352186469
Medium,0.3471435004345472
Medium,-0.28291122461695145
Medium,0.9400603372906613
Low (bottom 25%),-0.45228407975615725
Medium,-0.07717851268128524
Low (bottom 25%),-0.47194436988865557
Low (bottom 25%),-0.25897150839254784
Low (bottom 25%),-0.4719887017407639
Low (bottom 25%),-0.6455110217084338
Medium,1.2122854177937352
Low (bottom 25%),-0.08725733536804779
Low (bottom 25%),-0.45836080877166874
Low (bottom 25%),0.24396570426883069
Low (bottom 25%),-0.4582672682411993
Low (bottom 25%),-0.5363318265534356
Low (bottom 25%),-0.6586616566077184
Medium,-0.3151668498490786
Medium,-0.33049383769711976
Low (bottom 25%),-0.06611503750952899
Medium,-0.18203405646166645
Medium,0.03092942708116087
Low (bottom 25%),-0.3035263538662509
Low (bottom 25%),-0.3721218325335592
Low (bottom 25%),-0.0776345423944107
Low (bottom 25%),0.7402160810417754
Medium,0.7279134452951279
Low (bottom 25%),-0.02032219464944875
Low (bottom 25%),0.9331456068485109
Low (bottom 25%),-0.054666946002469484
Low (bottom 25%),0.3498030818508371
Low (bottom 25%),0.08087231343901742
Low (bottom 25%),0.4892199069721262
Low (bottom 25%),-0.4101691157673801
