poverty_strata,allocation_residual
Medium,-0.8557997947859406
High (top 25%),0.8624429913026577
Medium,-2.0573444396538534
Low (bottom 25%),-1.9193947081051725
High (top 25%),-0.9970099717637607
Medium,-1.2668820892941524
High (top 25%),-0.7314630773788763
Medium,-1.9527971808521931
Medium,-0.9138384259027281
High (top 25%),-0.10942842477352939
Medium,-0.6478256309485749
High (top 25%),1.3364140178422275
Low (bottom 25%),-0.7601882529065955
High (top 25%),-0.4179541338890535
Medium,-0.621864694639671
High (top 25%),-1.0377077624145972
High (top 25%),1.0430642226050777
Medium,-0.1953528941027752
Low (bottom 25%),-1.2841995115347817
Medium,-0.7008012470128758
Low (bottom 25%),-0.9114272166985374
Medium,0.6652476503145612
High (top 25%),1.025965722764008
Low (bottom 25%),-0.35296052362898
High (top 25%),0.15354159042164475
Low (bottom 25%),-0.8634937322763889
Medium,-0.401264680667872
High (top 25%),-0.6372299405030998
High (top 25%),0.7659244501603818
High (top 25%),0.9504386362955308
Medium,-2.6894608069908994
Medium,-0.13244036975175155
Low (bottom 25%),-1.4395191852338087
Medium,-1.2558452024740252
High (top 25%),-1.8651168155092772
High (top 25%),1.0271093760734673
High (top 25%),0.01229904455065263
Medium,-1.4154143747008026
Low (bottom 25%),-1.077754568534876
High (top 25%),-1.2900567439309105
Medium,-2.025962714405433
Medium,-1.1712016238774816
Medium,-2.0649882690493864
High (top 25%),-1.4248667494805203
Medium,-1.717469445186963
High (top 25%),1.5218315115294194
Medium,-2.410053965241523
High (top 25%),-1.1171288220353957
Medium,-1.5859668482846239
High (top 25%),-3.120378171334022
Medium,1.173546792055375
High (top 25%),-1.0783338223400973
High (top 25%),-0.6509598790459918
High (top 25%),0.406208204228732
Medium,-0.012091100209766503
Medium,-0.794535069842445
Medium,-0.29320507986079264
Medium,-1.132764608596955
Low (bottom 25%),-0.6477327291704938
Medium,-0.37218569658802897
High (top 25%),-0.6142113606152579
Low (bottom 25%),-0.2552936501145651
High (top 25%),-0.7071277387715058
High (top 25%),-1.800645158750328
Low (bottom 25%),-1.6259330432495587
Medium,-1.0285725866571045
High (top 25%),-1.2732030168395727
High (top 25%),-0.8373750986415591
Medium,-1.202465019284985
Medium,-1.7862583860958914
