poverty_strata,allocation_residual
Medium,0.47506194570359916
Medium,-0.6679664517783754
High (top 25%),-1.0863522091158155
Medium,-1.1217013856305988
High (top 25%),-0.0008181607264964525
Low (bottom 25%),0.05838676025144081
Low (bottom 25%),1.3064520885388526
Low (bottom 25%),0.024663144570531814
Low (bottom 25%),-0.4048531399669811
Low (bottom 25%),-0.2974754224499621
Low (bottom 25%),0.09137836919394553
Low (bottom 25%),0.4790325462461353
Low (bottom 25%),1.4082164405637134
Medium,2.6744852734165065
Low (bottom 25%),0.9858196015912682
Low (bottom 25%),4.115575867641087
Low (bottom 25%),1.9721424520610829
Low (bottom 25%),1.6767442288587995
Medium,1.4848102934181437
Medium,1.53827135832197
Medium,0.7019646313750912
Medium,0.03143345954217915
Medium,-0.5564807514766152
Low (bottom 25%),1.722486476565351
Low (bottom 25%),0.41426668637076425
Medium,1.169334844021438
Medium,0.5441648817524057
Medium,-0.4654140559355425
Medium,0.2380583352029685
Medium,-0.09320955305087492
Medium,0.42174554081202265
Medium,2.567409751310699
Medium,0.6549693295384015
Low (bottom 25%),-0.024498723859885357
Medium,-1.0420390904652428
Low (bottom 25%),-0.49236633127752305
Low (bottom 25%),-0.1530236678414654
Low (bottom 25%),-0.9263224527703954
Medium,-0.5670443408413607
Medium,-0.9175111175451903
Medium,-0.8148353089469108
Medium,-0.41946095646593284
Medium,-0.7709768343165909
High (top 25%),-0.6996022516113444
Medium,-0.1581775094323727
Medium,-0.3660624167206117
Medium,0.34345673519593867
Medium,-0.8548998593592435
High (top 25%),-0.171133816622724
Medium,-0.7886618330493901
Low (bottom 25%),-1.5576581090321178
Medium,-0.22863077223899525
Medium,-1.2651104796642811
Medium,-1.2032291234313421
Medium,0.0884320772543933
Medium,-0.7256730697774256
Medium,-0.13616296664656
Low (bottom 25%),-0.2644315531024065
Low (bottom 25%),-1.0398147347689508
Low (bottom 25%),-0.8887007662920329
High (top 25%),-0.2022203024246679
Low (bottom 25%),-1.1248974937619576
Medium,0.34282473390537616
Low (bottom 25%),0.12657864817054368
Medium,-0.9045533671337543
Medium,-0.23995541234876505
Medium,-1.1250919415140355
Low (bottom 25%),-0.4026596403566628
Low (bottom 25%),0.6783962597547575
Low (bottom 25%),0.8379955183688347
Medium,1.409461026467421
Medium,1.4629762100573211
Low (bottom 25%),-0.6914151146955475
Medium,0.9012532251465415
Low (bottom 25%),-0.6779304204458191
Low (bottom 25%),0.8580202578914076
Medium,-0.07406401732448578
Low (bottom 25%),-1.2974025899443233
High (top 25%),-0.6592911029812858
Medium,-1.225535564559086
Low (bottom 25%),-0.923930029257258
Medium,-0.5610513945545637
Medium,1.6399993258132044
Low (bottom 25%),2.264318509571979
Low (bottom 25%),2.1044299918350866
High (top 25%),0.4765120193914543
Low (bottom 25%),1.7183849728496636
Low (bottom 25%),0.5045057887566736
Medium,0.07318682118856933
Medium,-0.9724033525711846
Medium,-0.6497702039735747
Medium,-1.04493022448634
Low (bottom 25%),-0.9809678929365285
Low (bottom 25%),0.6236520885545855
Low (bottom 25%),1.651521317793418
Medium,-0.5703737631464743
Medium,-0.9741989869074024
Medium,-0.7337373621973725
Medium,-0.9212784947277759
Medium,-1.2781876104349905
Low (bottom 25%),-1.0386484531087703
Medium,0.02076472362162448
Medium,0.6839145756022751
High (top 25%),1.3738364732713455
Medium,0.008701560700184954
Medium,-0.6485556697290424
Medium,-0.49424665531339484
Medium,-0.8268849957789419
Medium,-1.0660426410990615
High (top 25%),-1.0345461290444558
Medium,2.1280547382962816
Medium,0.07462575749231898
Medium,1.6063724532584274
Medium,0.0071783418228792955
Low (bottom 25%),-0.0969215779672588
Low (bottom 25%),0.07589208838148848
Low (bottom 25%),-0.5400860273064093
Low (bottom 25%),-0.31022458611721243
Medium,2.62932039231353
Low (bottom 25%),0.4704171767973143
Low (bottom 25%),2.1092550981860327
Medium,1.1384129257931963
Low (bottom 25%),0.690304714647748
Medium,2.1088308592964653
Medium,1.4216530454966445
Medium,1.3655623758218418
Medium,-0.8246430355688403
Medium,-0.4386041123427899
Medium,-1.328556700639472
Medium,-1.0726187147085953
Medium,-0.5681322544919322
Low (bottom 25%),0.09561707347356359
Low (bottom 25%),0.3373879937725677
Medium,-1.3234608996229744
Low (bottom 25%),-1.2082135842106647
Low (bottom 25%),-0.59424022780038
Medium,0.854908640458665
Low (bottom 25%),-1.0338336908950059
Medium,-0.5018505833424393
Medium,-0.8221625434448413
Medium,-0.6171541377901796
Low (bottom 25%),0.2354962548106611
Low (bottom 25%),-0.559411120082317
Low (bottom 25%),0.8554682967190591
Low (bottom 25%),-0.5073376717997286
Medium,-0.6877362077440548
Low (bottom 25%),0.5115855728210391
Low (bottom 25%),-0.8614679103433923
Low (bottom 25%),-1.1280999602517974
Medium,-0.7681511753124293
Medium,0.3438947575636876
Medium,-0.1544761774309031
Medium,-1.0809220298622746
Medium,-0.07121863628573404
Low (bottom 25%),-0.39936133256886686
Medium,-0.5098383228206922
Medium,-0.6085710600106977
Medium,-0.6121813634505572
Medium,-0.7558120932980384
Medium,-1.0868907565556307
High (top 25%),-1.2397425792477026
High (top 25%),-1.2905693664440465
High (top 25%),-1.5947085406791677
High (top 25%),-0.4242304238497283
Medium,-0.843609338171075
Medium,-0.9516950995907396
Medium,-1.5727003941993714
Low (bottom 25%),-0.9399800035636146
Medium,-0.7843154271162739
Medium,-0.5515015004019614
Low (bottom 25%),-0.21724962305329928
Low (bottom 25%),-1.197244675964001
High (top 25%),-0.18619512031400492
Medium,-0.30958817580260395
Medium,-0.531845456804417
Medium,0.08870543727698876
High (top 25%),-0.0594424185582245
Medium,-0.9111664816816181
Medium,0.8956602630400315
Medium,-0.0690011964072197
Medium,-0.025561898319477472
Medium,1.2369914033612817
Low (bottom 25%),-0.48658973111412074
Medium,0.29637274654112733
Medium,-0.5515533119339232
Low (bottom 25%),-0.2688834539181715
Medium,0.4610873302885709
Medium,-0.26699456737173227
Medium,-0.8653019760506857
Medium,-0.9024179447041042
High (top 25%),-0.8510865463340354
Medium,-0.44910155299537663
Medium,-0.5306989217570895
Medium,-0.3195848532823253
Medium,-0.9381653544986541
Medium,-1.1405930341340176
Medium,0.4702043745645007
Medium,-0.7623610845154832
Medium,-0.5154633319236567
Medium,0.37850240830549364
High (top 25%),-0.31757346989153623
Medium,-0.8431390346624488
Medium,-0.5904325294008543
Medium,-1.3040908349149058
Low (bottom 25%),-0.7961938811949295
Medium,-0.8113155779167162
Medium,0.06660469558500319
High (top 25%),-0.29819538648223626
Medium,0.8396779463614356
Medium,-0.42294085753324323
Medium,-0.5006395214773173
Medium,-1.1644450571872085
High (top 25%),-1.1576883136883764
Medium,-0.9080444589703259
Medium,-0.8824812332495651
Medium,-0.6544556760589443
High (top 25%),-0.07804273588915522
High (top 25%),-0.027159001806452192
Low (bottom 25%),-0.963739269174019
Medium,-0.45486334791078864
Low (bottom 25%),-1.207841823392691
High (top 25%),0.6875707865531616
Low (bottom 25%),-1.0518467647581986
Medium,1.1608540112987824
High (top 25%),-0.1157300810117144
High (top 25%),0.35641490368974127
Low (bottom 25%),-0.9547332857308384
Low (bottom 25%),-0.3998471308283192
Medium,-0.6079141851160648
High (top 25%),0.03777751465495979
Low (bottom 25%),-0.14044645673576386
Medium,-0.5542987492771297
Medium,-0.5022930683098158
Medium,0.12368769857030694
Medium,-0.17230785593503584
High (top 25%),-0.4082244183071214
Low (bottom 25%),-0.9537176451937942
Medium,-0.7924972070802359
Medium,-1.1305810990328748
Low (bottom 25%),-0.7700575777228013
High (top 25%),-0.3558505728683292
Low (bottom 25%),-0.933162285339302
Medium,0.6884938976226411
High (top 25%),-0.2742817816981925
Medium,0.21927844675835387
Medium,-0.2238164205550141
Medium,-0.7292732988765135
Low (bottom 25%),-0.8746090865402342
Medium,-0.49123625997658055
Medium,0.2630862757867732
High (top 25%),-0.7779465399110583
Medium,0.7314836655000866
Medium,0.12943790698176028
High (top 25%),0.7029082681177059
Medium,-0.05425101089442405
Medium,0.7044209267148689
Medium,0.6697551353677418
Low (bottom 25%),-0.7439301467502839
High (top 25%),-0.17991574954898815
Medium,-0.3703244036135533
Medium,-0.33650687711358196
High (top 25%),-0.06035500285557883
Medium,-0.39686541876798476
High (top 25%),-0.19718871024958778
Medium,-0.5165076634025585
Low (bottom 25%),-1.1868791378678007
Medium,-1.0750487440398433
Medium,-0.7653968106045913
Medium,-0.49009220972209705
Medium,-1.0621812627484313
Low (bottom 25%),-0.47139342079297863
Medium,-0.6221284272932074
High (top 25%),-0.6331580767980508
Medium,-1.0126986656038424
Medium,-0.6200983344397496
Medium,-0.5714216072472532
Medium,-0.6086803276719958
Medium,0.40036757708579096
Medium,-0.884108644020159
Medium,1.3596886667995485
Medium,0.8184578207839096
Medium,0.32776019000459367
Medium,2.033185660857509
Low (bottom 25%),-0.4436890601137942
Medium,0.050390303575014776
Low (bottom 25%),-0.43422941342919064
Medium,0.5485247422892967
Medium,-0.36851701371292755
Medium,-0.12397688116687407
Medium,-0.36404645887841924
Low (bottom 25%),0.05993990165864933
Medium,-0.30979883802869873
Medium,2.4707432757406167
Low (bottom 25%),-0.6191433303480703
High (top 25%),2.9823713399986436
Low (bottom 25%),1.2329811352961964
Low (bottom 25%),1.445272459109676
Low (bottom 25%),0.6246907021583783
Low (bottom 25%),2.490417345136717
Low (bottom 25%),0.20425251654512916
Low (bottom 25%),-0.13260465971013655
Low (bottom 25%),-0.2712415447434304
Medium,0.26541649090330055
Medium,3.1660135234233096
Medium,-0.4413228890090648
Low (bottom 25%),-0.26499494229740905
Low (bottom 25%),2.4487742683717686
Low (bottom 25%),0.9279490738309274
Medium,3.2788608441687424
Low (bottom 25%),0.014304201220545678
Low (bottom 25%),-0.20373196846905603
Low (bottom 25%),1.4833425197564918
Low (bottom 25%),-0.1504237412621731
Low (bottom 25%),0.1317054618224406
Low (bottom 25%),-0.8815852859284634
Low (bottom 25%),-1.1689779776174836
Low (bottom 25%),-0.7601237867655305
Medium,0.8128532629531775
Medium,0.33122639595757464
Low (bottom 25%),-0.6959244929243236
Medium,1.3484006471315917
Medium,-0.3300408793593019
Low (bottom 25%),-1.6954336350171504
Medium,-0.4894803467293671
High (top 25%),0.36304773167516996
Low (bottom 25%),-0.9913662330446864
Medium,-0.556075322212973
High (top 25%),2.9206608838220234
Low (bottom 25%),0.7222850130554929
Medium,1.5540209682126422
Low (bottom 25%),-0.8947349493322364
Low (bottom 25%),-0.24050783485319013
High (top 25%),2.6179798719543887
Medium,0.5366500084721522
Medium,1.182109914108979
Low (bottom 25%),0.5695548106261206
Low (bottom 25%),0.045087749670772045
Low (bottom 25%),0.416649910864085
Low (bottom 25%),-1.05951788899238
Low (bottom 25%),1.4149860932130263
