poverty_strata,allocation_residual
High (top 25%),-1.1509201093776367
High (top 25%),0.7957877121328436
Low (bottom 25%),-0.9300137390335382
High (top 25%),-0.06304571502345485
High (top 25%),1.23697563644856
Medium,-0.5800749245262123
High (top 25%),-0.5064163451300573
Medium,-0.584874845980474
High (top 25%),-0.38268582079467833
Low (bottom 25%),-0.83317984412411
High (top 25%),-0.05659415758853336
High (top 25%),0.6861237517002413
Low (bottom 25%),-1.0130075464234813
Medium,-0.6388976602112624
Medium,-0.12458987312360154
Medium,-0.752146548209954
Medium,-1.0842095757874757
High (top 25%),-0.7141725702117971
Medium,-0.7515600003642567
Medium,-1.0689659122949817
High (top 25%),-1.3175268453110331
Low (bottom 25%),0.851310988437831
Low (bottom 25%),-0.015994094290047643
Medium,0.3515121408109863
Medium,0.07144940458335526
Medium,-0.26563365444435566
Medium,0.06936723074539654
Low (bottom 25%),-0.6118883177890138
Medium,0.05084854807256373
Medium,-0.11509248277827666
High (top 25%),-0.5775762737152798
Medium,-1.2701648071139982
Medium,-1.220813628919695
Medium,-1.3569564164934707
Medium,-0.33351297968605126
Medium,-0.2866545516997393
High (top 25%),0.538574223980618
Low (bottom 25%),2.171035948509235
Medium,0.40814651089027026
Low (bottom 25%),1.3433472461168907
Medium,1.9102703438847877
Medium,1.129920571742136
Medium,1.201832689937269
Medium,0.7749338402372762
Medium,1.6725449442398646
Medium,-0.14689343710208283
Medium,-1.3065584037994484
Medium,-0.9704147239172121
Medium,-1.354725618638681
Medium,-1.0330854762861412
Medium,-1.4730338714006297
Medium,-1.3904163774642044
High (top 25%),-1.4156466837005883
Low (bottom 25%),-1.3357789161573663
Medium,-1.127944303604965
Medium,0.45365928959109847
Medium,0.5851189904746347
High (top 25%),-0.05414518220129906
Medium,0.4038993203419965
Medium,-0.9857498242768886
Medium,-0.9534968872197311
High (top 25%),-1.151201657188944
Medium,-1.445971198173459
Medium,-1.3915599514780939
Medium,-1.8046846625524553
Low (bottom 25%),-1.3288206493892225
Medium,-1.2007096496254743
High (top 25%),0.14799625749455547
Medium,-1.03369509071034
Medium,0.21311345355107614
Medium,-0.41231382490924856
Medium,1.6391102410391112
Low (bottom 25%),-0.02522866555125257
Medium,1.3140821417861626
Medium,-0.7195077186336181
Low (bottom 25%),-0.5919541997063258
Medium,-0.05393412928978996
High (top 25%),0.7506190831585293
